,_id,contributors,coordinates,created_at,entities.hashtags,entities.symbols,entities.urls,entities.user_mentions,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,metadata.iso_language_code,metadata.result_type,place,possibly_sensitive,quoted_status.contributors,quoted_status.coordinates,quoted_status.created_at,quoted_status.entities.hashtags,quoted_status.entities.media,quoted_status.entities.symbols,quoted_status.entities.urls,quoted_status.entities.user_mentions,quoted_status.extended_entities.media,quoted_status.favorite_count,quoted_status.favorited,quoted_status.geo,quoted_status.id,quoted_status.id_str,quoted_status.in_reply_to_screen_name,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.is_quote_status,quoted_status.lang,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.place,quoted_status.possibly_sensitive,quoted_status.retweet_count,quoted_status.retweeted,quoted_status.source,quoted_status.text,quoted_status.truncated,quoted_status.user.contributors_enabled,quoted_status.user.created_at,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.description,quoted_status.user.entities.description.urls,quoted_status.user.entities.url.urls,quoted_status.user.favourites_count,quoted_status.user.follow_request_sent,quoted_status.user.followers_count,quoted_status.user.following,quoted_status.user.friends_count,quoted_status.user.geo_enabled,quoted_status.user.has_extended_profile,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.is_translation_enabled,quoted_status.user.is_translator,quoted_status.user.lang,quoted_status.user.listed_count,quoted_status.user.location,quoted_status.user.name,quoted_status.user.notifications,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_banner_url,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.protected,quoted_status.user.screen_name,quoted_status.user.statuses_count,quoted_status.user.time_zone,quoted_status.user.translator_type,quoted_status.user.url,quoted_status.user.utc_offset,quoted_status.user.verified,quoted_status.user.withheld_in_countries,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,source,text,truncated,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities.description.urls,user.entities.url.urls,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.has_extended_profile,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified,user.withheld_in_countries
0,61edc72749911a9db98ee10d,,,Jan 23 ,[],[],"[{""url"":""https://t.co/5EvDYLC5sP"",""expanded_url"":""https://twitter.com/i/web/status/1485357184171008005"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]","[{""screen_name"":""TheRevAl"",""name"":""Reverend Al Sharpton"",""id"":42389136,""id_str"":""42389136"",""indices"":[0,9]},{""screen_name"":""TheRevAl"",""name"":""Reverend Al Sharpton"",""id"":42389136,""id_str"":""42389136"",""indices"":[10,19]},{""screen_name"":""MeetThePress"",""name"":""Meet the Press"",""id"":11856892,""id_str"":""11856892"",""indices"":[20,33]},{""screen_name"":""FaceTheNation"",""name"":""Face The Nation"",""id"":205392468,""id_str"":""205392468"",""indices"":[34,48]},{""screen_name"":""ThisWeekABC"",""name"":""This Week"",""id"":450941680,""id_str"":""450941680"",""indices"":[49,61]}]",1,False,,1485357184171008005,1485357184171008005,TheRevAl,1.4853550273969684e+18,1.4853550273969684e+18,42389136.0,42389136.0,False,en,en,recent,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@TheRevAl @TheRevAl @MeetThePress @FaceTheNation @ThisWeekABC One doesn't have been ""White or Black
Americans"" to V… https://t.co/5EvDYLC5sP",True,False,Mon Dec 16 16:31:02 +0000 2019,True,False,"Our Lives at stake daily in America It is time jettison the""Black-White binary that renders Latinos invisible and contributes to the denial of injustices on us.",[],,29592,False,1114,False,2178,False,True,1206611432063799302,1206611432063799302,False,False,,3,USA,"Latinos/Latinas are ""HUMAN BEINGS"" @WiseLatina",False,F5F8FA,,,False,https://pbs.twimg.com/profile_banners/1206611432063799302/1641949270,http://pbs.twimg.com/profile_images/1206614211851370496/Z8B3CSmj_normal.jpg,https://pbs.twimg.com/profile_images/1206614211851370496/Z8B3CSmj_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,EusebiaAq,47699,,none,,,False,[]
1,61edc72749911a9db98ee10e,,,Jan 23 ,[],[],"[{""url"":""https://t.co/apMtFmTtN6"",""expanded_url"":""https://twitter.com/i/web/status/1485357081569943554"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]","[{""screen_name"":""nathaliejacoby1"",""name"":""Nathalie Jacoby"",""id"":1280478731874848800,""id_str"":""1280478731874848769"",""indices"":[0,16]}]",7,False,,1485357081569943554,1485357081569943554,nathaliejacoby1,1.485355530663207e+18,1.485355530663207e+18,1.2804787318748488e+18,1.2804787318748488e+18,False,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@nathaliejacoby1 the legal punishment will not be strong enough. I'm not sure how criminal charges work, but wouldn… https://t.co/apMtFmTtN6",True,False,Tue May 05 04:23:40 +0000 2009,False,False,"#BlackLivesMatter #IMessWithTexas

Proud father and ally of my LGBTQ child 🏳️‍🌈🌈

Si vis pacem, para bellum",[],,33114,False,472,False,2638,True,True,37856583,37856583,False,False,,4,Topeka,Marijuana Honey Badger 🌲🍯🦡,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,https://pbs.twimg.com/profile_banners/37856583/1600915208,http://pbs.twimg.com/profile_images/1464699434474868742/q8hdZ342_normal.jpg,https://pbs.twimg.com/profile_images/1464699434474868742/q8hdZ342_normal.jpg,1F98C7,C6E2EE,DAECF4,663B12,True,False,lakeys_dad,20269,,none,,,False,[]
2,61edc72749911a9db98ee10f,,,Jan 23 ,[],[],[],[],1,False,,1485353388690882565,1485353388690882565,,,,,,False,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Cooper Kupp out there cookin Niggas  like its a hate crime !!!!,False,False,Thu Sep 30 15:37:13 +0000 2010,True,False,"Caesar to the apes... TMC 🏁(Heat,Canes,Colts)",[],,49863,False,1536,False,1090,True,True,197067411,197067411,False,False,,30,St. Louis Mo,Super Gremlin Ky,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/197067411/1637526244,http://pbs.twimg.com/profile_images/1458239297014976520/ZO557Z_o_normal.jpg,https://pbs.twimg.com/profile_images/1458239297014976520/ZO557Z_o_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,KyTheBrute,292281,,none,,,False,[]
3,61edc72749911a9db98ee110,,,Jan 23 ,[],[],[],"[{""screen_name"":""angry_gammy"",""name"":""⚖️Barbara⚖️ Never Forget 1/6 🇺🇸 Expand The Court"",""id"":993134676180127700,""id_str"":""993134676180127744"",""indices"":[0,12]},{""screen_name"":""thatdaneshguy"",""name"":""Danesh"",""id"":1391386607555682300,""id_str"":""1391386607555682306"",""indices"":[13,27]}]",0,False,,1485352144903581698,1485352144903581698,angry_gammy,1.485317638356099e+18,1.485317638356099e+18,9.931346761801277e+17,9.931346761801277e+17,False,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@angry_gammy @thatdaneshguy Absolutely its a hate crime!!,False,False,Sun Oct 08 01:21:30 +0000 2017,True,False,"Flyers, dog lover, retired government worker, Genesis, Police U2 music fan, gamer, vaccinated democrat, end racism!!!",[],,15433,False,518,False,690,True,False,916835914155995137,916835914155995137,False,False,,2,USA,A Border Collie,False,F5F8FA,,,False,https://pbs.twimg.com/profile_banners/916835914155995137/1642768062,http://pbs.twimg.com/profile_images/1398803221121011713/mg1cBhp5_normal.jpg,https://pbs.twimg.com/profile_images/1398803221121011713/mg1cBhp5_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,puckhead8,24234,,none,,,False,[]
4,61edc72849911a9db98ee111,,,Jan 23 ,[],[],"[{""url"":""https://t.co/kU0i6b8aRF"",""expanded_url"":""https://twitter.com/i/web/status/1485343225946779648"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]","[{""screen_name"":""PR_NHL"",""name"":""NHL Public Relations"",""id"":1360098198,""id_str"":""1360098198"",""indices"":[0,7]}]",0,False,,1485343225946779648,1485343225946779648,PR_NHL,1.485302826335146e+18,1.485302826335146e+18,1360098198.0,1360098198.0,False,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@PR_NHL What about racism to white people, we are labeled by every race and attacked racially by every race even bl… https://t.co/kU0i6b8aRF",True,False,Tue Jan 18 22:09:59 +0000 2022,True,False,"no black lives matter, no white lives matter, no brown lives matter; ALL LIVES MATTER!🤎🧡💜💚❤️💙💛",[],,16,False,1,False,35,False,True,1483562284697882628,1483562284697882628,False,False,,0,earth,Meliodas,False,F5F8FA,,,False,https://pbs.twimg.com/profile_banners/1483562284697882628/1642689982,http://pbs.twimg.com/profile_images/1483562492785795072/ZKrnYcpK_normal.jpg,https://pbs.twimg.com/profile_images/1483562492785795072/ZKrnYcpK_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,Meliodas47291,175,,none,,,False,[]
5,61edc72849911a9db98ee112,,,Jan 23 ,[],[],[],"[{""screen_name"":""CityOfMemphis"",""name"":""City of Memphis"",""id"":113733140,""id_str"":""113733140"",""indices"":[91,105]}]",0,False,,1485339485629988870,1485339485629988870,UnderaWingCaddo,1.485165340980093e+18,1.485165340980093e+18,1.4384285165178757e+18,1.4384285165178757e+18,False,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","This was a Gay Bashing Hate Crime. Damn, how many of my CIVIL RIGHTS have been violated by @CityOfMemphis.",False,False,Thu Sep 16 09:04:54 +0000 2021,True,False,"Proud Contraian, It's a Free Country, Live in it...Free thinking, logic and reason.",[],,620,False,23,False,102,False,True,1438428516517875713,1438428516517875713,False,False,,0,United States,Michael J,False,F5F8FA,,,False,https://pbs.twimg.com/profile_banners/1438428516517875713/1641133968,http://pbs.twimg.com/profile_images/1474872207121784832/W6OsRh8S_normal.jpg,https://pbs.twimg.com/profile_images/1474872207121784832/W6OsRh8S_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,UnderaWingCaddo,342,,none,,,False,[]
6,61edc72849911a9db98ee113,,,Jan 23 ,[],[],"[{""url"":""https://t.co/3ka5cj2eWH"",""expanded_url"":""https://twitter.com/i/web/status/1485334210521219072"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]","[{""screen_name"":""Wyzinski1"",""name"":""Wyzinski"",""id"":1061815711511662600,""id_str"":""1061815711511662592"",""indices"":[0,10]},{""screen_name"":""AP"",""name"":""The Associated Press"",""id"":51241574,""id_str"":""51241574"",""indices"":[11,14]}]",0,False,,1485334210521219072,1485334210521219072,Wyzinski1,1.4853198266460733e+18,1.4853198266460733e+18,1.0618157115116626e+18,1.0618157115116626e+18,False,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Wyzinski1 @AP Let’s not forget that every race EXCEPT blacks are benefiting under Biden’s administration. Executiv… https://t.co/3ka5cj2eWH,True,False,Sat Jul 10 21:34:33 +0000 2021,True,False,Keeping our politicians accountable regardless of party affiliation. God Bless America! 🇺🇸,[],,596,False,2,False,40,False,True,1413974692235550720,1413974692235550720,False,False,,0,United States,fairandbalanced,False,F5F8FA,,,False,https://pbs.twimg.com/profile_banners/1413974692235550720/1625953393,http://pbs.twimg.com/profile_images/1413975287897985026/BN75AGAO_normal.jpg,https://pbs.twimg.com/profile_images/1413975287897985026/BN75AGAO_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,fairandbalance5,1511,,none,,,False,[]
7,61edc72849911a9db98ee114,,,Jan 23 ,[],[],[],"[{""screen_name"":""EvanBoomin"",""name"":""👨🏾‍🦯"",""id"":1229082888588681200,""id_str"":""1229082888588681225"",""indices"":[0,11]}]",1,False,,1485328913295364098,1485328913295364098,EvanBoomin,1.485328758198489e+18,1.485328758198489e+18,1.2290828885886812e+18,1.2290828885886812e+18,False,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@EvanBoomin it’s considered a crime to hate on burrow at this point,False,False,Sun Oct 11 20:13:04 +0000 2020,True,False,𝘾𝙝𝙞𝙚𝙛𝙨 • 𝙍𝙤𝙮𝙖𝙡𝙨 • 𝙂𝙖𝙩𝙤𝙧𝙨 • #𝐍𝐁𝐀𝐭𝐨𝐊𝐂,[],,50916,False,1553,False,1463,False,True,1315384910799138817,1315384910799138817,False,False,,7,"Kansas City, MO",Sack Nation,False,F5F8FA,,,False,https://pbs.twimg.com/profile_banners/1315384910799138817/1622593494,http://pbs.twimg.com/profile_images/1480353499833581573/Q1xImYpD_normal.jpg,https://pbs.twimg.com/profile_images/1480353499833581573/Q1xImYpD_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,sacknationkc,16102,,none,,,False,[]
8,61edc72849911a9db98ee115,,,Jan 23 ,[],[],"[{""url"":""https://t.co/33rhRiQfxg"",""expanded_url"":""https://twitter.com/i/web/status/1485328207687598088"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]","[{""screen_name"":""B52Malmet"",""name"":""Barbara Malmet"",""id"":2876041031,""id_str"":""2876041031"",""indices"":[0,10]}]",1,False,,1485328207687598088,1485328207687598088,B52Malmet,1.485053900554072e+18,1.485053900554072e+18,2876041031.0,2876041031.0,False,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@B52Malmet And still we’re being discriminated against, gay, black, brown, Asian, American Indian, Japanese, Chines… https://t.co/33rhRiQfxg",True,False,Fri Nov 19 15:32:40 +0000 2021,True,False,"Wife, grandma, I listen and pay attention, proud dem, try my best to be a good person, my wife is the better person",[],,3674,False,22,False,132,False,True,1461718956281106434,1461718956281106434,False,False,,0,NE Ohio,sher mcguinness,False,F5F8FA,,,False,,http://pbs.twimg.com/profile_images/1461725585051426822/uWeenuTl_normal.jpg,https://pbs.twimg.com/profile_images/1461725585051426822/uWeenuTl_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,SherMcguinness,349,,none,,,False,[]
9,61edc72849911a9db98ee116,,,Jan 23 ,"[{""text"":""Joker"",""indices"":[54,60]}]",[],"[{""url"":""https://t.co/19UTMq1Jc7"",""expanded_url"":""https://twitter.com/i/web/status/1485326262625316870"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[116,139]}]",[],9,False,,1485326262625316870,1485326262625316870,,,,,,False,en,en,recent,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","The Clown Prince of Crime, the Harlequin of Hate… The #Joker goes by many names. Which nickname fits the character… https://t.co/19UTMq1Jc7",True,False,Thu Nov 21 22:38:42 +0000 2013,False,False,"Follow FandomWire® for up-to-date entertainment coverage! 

🔔 Turn On Post Notifications
📺 Video Essays: https://t.co/1Ti7U3okcy
🎙️ Marvel Podcast: https://t.co/cFpjObBVVc","[{""url"":""https://t.co/1Ti7U3okcy"",""expanded_url"":""http://FandomWi.re/yt"",""display_url"":""FandomWi.re/yt"",""indices"":[105,128]},{""url"":""https://t.co/cFpjObBVVc"",""expanded_url"":""http://FandomWi.re/aof"",""display_url"":""FandomWi.re/aof"",""indices"":[148,171]}]","[{""url"":""https://t.co/1iiKLNAXBn"",""expanded_url"":""http://FandomWire.com"",""display_url"":""FandomWire.com"",""indices"":[0,23]}]",54,False,22270,False,13,False,False,2190533812,2190533812,False,False,,75,United States,FandomWire,False,110299,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/2190533812/1628878516,http://pbs.twimg.com/profile_images/1302446198608007169/9hSZH9cT_normal.jpg,https://pbs.twimg.com/profile_images/1302446198608007169/9hSZH9cT_normal.jpg,0BE6AF,FFFFFF,DDEEF6,333333,True,False,FandomWire,4859,,none,https://t.co/1iiKLNAXBn,,False,[]
